ニンフィア,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/700.png?1,SLEE PTAL KW0R LDS,2025年8月20日(火)8:59まで
ロイのホゲータ,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/909.png?1,909T EAMU P06,2025年1月31日(金)まで
ドットのクワッス,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/912.png?1,D0T1 STPA RTNE R,2024年11月30日(土)まで
リコのニャオハ,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/906.png?1,L1K0 W1TH 906,2024年9月30日(月)まで
パーモット,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/956.png?1,Y0AS 0B1B 1R1B 1R1,2025年2月28日(金)まで
まぼろしモモン,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/i_item755.png?1,ふしぎなおくりものを選択して、インターネットで受け取るを選ぶ,なし
ネオキタカミカバー,https://img.gamewith.jp/img/23f6caac4edee5cd55b12750cbc2a303.png,NE0R 0T0M C0VE R,未定
たつじんのおび,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/i_item245.png?1,SUPE REFF ECT1 VE,2025年2月28日(金)まで
クイックボール30個,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/i_item45.png?1,G0TC HAP0 KEM0 N ※0はゼロ,2025年2月28日(金)まで
スポーツキャップ テラスタル,https://img.gamewith.jp/img/5cb9c31b1e2cecafefd9163393c8fd65.png,WEAR TERA STAL CAP,2024年11月30日(土)23:59まで
ごきげんなコレクレー,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/976.png?1,SEEY 0U1N PALD EA,2024年11月30日(土)23:59まで
スター団のブロロローム,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/943.png?1,TEAM STAR,2024年10月31日(木)23:59まで
あまスパイス orからスパイス,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/sandwich_sozai54.png?1,SWEE T0RS P1CY,2024年9月30日(月)23:59まで
あれくるうハルクジラ,https://img.gamewith.jp/article_tools/pokemon-sv/gacha/948.png?1,L1KE AFLU TE,2024年8月31日(土)23:59まで
